sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
Constellation Schools: Stockyard Community Middle,012025,39035,Cuyahoga County,Ohio,44102,0,0,0,1,1,1,68,1,4,41.48,-81.74
Plain Local School District,049932,39151,Stark County,Ohio,44709,1,12.051552901023891,0,2,1,2,6351,11,2,40.84,-81.39
St Paul Lutheran,060509,39035,Cuyahoga County,Ohio,44145,0,0,0,1,1,1,136,1,1,41.45,-81.92
Sts Joseph & John Interparochi,056853,39035,Cuyahoga County,Ohio,44136,1,1.5,0,1,1,1,613,1,1,41.31,-81.83
Constellation Schools: Westpark Community Middle School,000316,39035,Cuyahoga County,Ohio,44111,0,0,0,1,1,1,232,1,3,41.46,-81.79
Shiocton School District,445348,55087,Outagamie County,Wisconsin,54170,1,1.5,0,2,3,4,693,2,1,44.44,-88.57
Stoughton Area School District,135621,55025,Dane County,Wisconsin,53589,1,5.01693193362682,1,1,1,1,2788,5,1,42.92,-89.22
Franklin Public School District,401900,55079,Milwaukee County,Wisconsin,53132,1,2.0597323600973234,0,1,1,1,4561,7,1,42.88,-88
"Pathways High, Inc.",408139,55079,Milwaukee County,Wisconsin,53212,1,2,0,1,1,1,78,1,3,43.07,-87.91
Cuba City School District,221246,55043,Grant County,Wisconsin,53807,1,5.5,0,3,3,1,684,3,1,42.6,-90.43
Mayville School District,143367,55027,Dodge County,Wisconsin,53050,1,7.859594182944234,0,1,1,1,1036,3,1,43.49,-88.54
Wi Dept Of Health Services,759113,55139,Winnebago County,Wisconsin,54985,1,3.0444444444444443,0,1,1,1,63,3,4,44.08,-88.52
Trinity Lutheran School,707967,55139,Winnebago County,Wisconsin,54952,0,0,0,2,1,3,50,1,2,44.21,-88.43
Cambria-Friesland School District,110882,55021,Columbia County,Wisconsin,53923,1,3.5,0,1,1,1,415,3,1,43.54,-89.11
Southern Door School District,155457,55029,Door County,Wisconsin,54204,1,9.053333333333335,0,1,1,1,1021,3,2,44.73,-87.63
Athens School District,370196,55073,Marathon County,Wisconsin,54411,0,0,0,1,1,1,420,3,1,45.03,-90.07
St. Joseph'S School,257597,55049,Iowa County,Wisconsin,53533,0,0,0,2,3,2,126,1,1,42.96,-90.13
Greendale School District,402296,55079,Milwaukee County,Wisconsin,53129,1,3,0,1,1,1,2710,6,1,42.93,-88
Colby School District,101162,55019,Clark County,Wisconsin,54421,1,6.101277870594305,1,1,1,1,917,4,3,44.9,-90.31
Clintonville School District,681141,55135,Waupaca County,Wisconsin,54929,1,7.15,1,3,2,1,1247,4,2,44.62,-88.75
Clear Lake School District,481127,55095,Polk County,Wisconsin,54005,1,10.679199273472069,0,2,2,2,597,3,2,45.25,-92.26
Hartford Joint #1 School District,662443,55131,Washington County,Wisconsin,53027,1,7.052777777777778,0,1,1,1,1558,3,2,43.32,-88.38
Wild Rose School District,696475,55137,Waushara County,Wisconsin,54984,0,0,0,1,1,2,585,2,1,44.17,-89.24
St. John's Lutheran School,117529,55021,Columbia County,Wisconsin,53901,0,0,0,1,1,3,95,1,1,43.54,-89.46
"Lad Lake, Inc.",679143,55133,Waukesha County,Wisconsin,53118,0,0,0,2,3,4,87,3,1,43.01,-88.47
St. Elizabeth Ann Seton Catholic School,591130,55117,Sheboygan County,Wisconsin,53081,0,0,0,,,,177,1,2,43.7,-87.74
Gillett School District,422128,55083,Oconto County,Wisconsin,54124,0,0,0,3,3,1,515,3,2,44.88,-88.3
Southwestern Wis Schools,222485,55043,Grant County,Wisconsin,53811,0,0,0,3,2,2,516,2,2,42.53,-90.43
St. Paul'S Lutheran School,537804,55105,Rock County,Wisconsin,53545,0,0,0,2,3,1,236,1,1,42.68,-89.01
Mcfarland School District,133381,55025,Dane County,Wisconsin,53558,1,8.882122599390218,0,3,3,3,2379,4,1,43.01,-89.29
Valders Area School District,365866,55071,Manitowoc County,Wisconsin,54245,1,2.13,0,3,1,1,969,3,1,44.06,-87.88
Rio Community School District,114865,55021,Columbia County,Wisconsin,53960,0,0,1,1,1,1,394,2,1,43.45,-89.23
Amery School District,480119,55095,Polk County,Wisconsin,54001,1,6.27625,0,1,1,1,1550,4,2,45.3,-92.36
Holy Rosary School,337125,55065,Lafayette County,Wisconsin,53530,0,0,0,2,3,2,33,1,1,42.68,-90.11
"City School, Inc.",401776,55079,Milwaukee County,Wisconsin,53223,1,1,0,1,1,1,161,1,4,43.16,-87.99
Saint Paul Lutheran Church,677140,55133,Waukesha County,Wisconsin,53066,0,0,0,1,1,1,173,1,1,43.1,-88.49
Word Of Life Lutheran School,402649,55079,Milwaukee County,Wisconsin,53221,0,0,0,1,1,1,82,1,4,42.95,-87.94
Divine Destiny School Inc,401702,55079,Milwaukee County,Wisconsin,53206,1,2.05,0,1,1,1,157,1,4,43.08,-87.93
Bowler School District,580623,55115,Shawano County,Wisconsin,54416,1,1.2059156130913893,0,1,1,1,298,2,2,44.86,-88.98
Riverdale School District,223850,55043,Grant County,Wisconsin,53573,1,1.5,0,1,1,1,695,4,2,43.18,-90.43
Dodgeville Sch District,251428,55049,Iowa County,Wisconsin,53533,1,5.010340049770106,0,2,2,2,1268,4,2,42.96,-90.13
Prentice House,29164,55003,Ashland County,Wisconsin,54806,1,3,0,1,1,1,22,3,4,46.57,-90.87
Random Lake School District,594641,55117,Sheboygan County,Wisconsin,53075,1,8.566062365520754,0,1,1,1,763,3,1,43.55,-87.95
Faith Lutheran School,207063,55039,Fond du Lac County,Wisconsin,54935,1,1.5,0,1,1,1,236,1,1,43.77,-88.44
"Good Shepherd Lutheran School, Watertown",287951,55055,Jefferson County,Wisconsin,53094,1,4,0,1,1,1,150,1,2,43.19,-88.72
Woodruff Joint #1 School District,636720,55125,Vilas County,Wisconsin,54568,1,7.02,0,1,1,1,555,1,2,45.9,-89.69
Oneida Nation School System,447223,55009,Brown County,Wisconsin,54155,1,9.833333333333334,1,1,1,1,424,3,4,44.49,-88.21
St. Philip'S Lutheran School,407038,55079,Milwaukee County,Wisconsin,53212,1,7.516628205128205,0,1,1,1,151,1,4,43.07,-87.91
Watertown Unified School District,286125,55027,Dodge County,Wisconsin,53098,1,10.701079858491463,0,1,1,1,3501,8,2,43.25,-88.71
Menomonee Falls School District,673437,55133,Waukesha County,Wisconsin,53051,1,3.71,0,1,1,1,3770,6,1,43.14,-88.12
McDonell Area Catholic Schools,97201,55017,Chippewa County,Wisconsin,54729,1,3.025,0,2,1,1,433,4,1,44.93,-91.39
Superior School District,165663,55031,Douglas County,Wisconsin,54880,1,8.9525,0,3,2,1,4572,8,2,46.67,-92.08
Hayward Community School District,572478,55113,Sawyer County,Wisconsin,54843,1,3.3045458197808495,1,1,1,1,1771,5,2,46.01,-91.48
Omro School District,704088,55139,Winnebago County,Wisconsin,54963,1,7.030686406077631,0,2,2,3,1074,4,2,44.03,-88.74
Lancaster Community School District,222912,55043,Grant County,Wisconsin,53813,1,1,0,2,3,1,920,3,2,42.84,-90.7
Pulaski Community School District,54613,55009,Brown County,Wisconsin,54162,0,0,0,2,3,3,3276,7,1,44.66,-88.23
New Holstein School District,83941,55015,Calumet County,Wisconsin,53061,1,4.5,1,2,1,1,1011,3,1,43.94,-88.09
Peshtigo School District,384305,55075,Marinette County,Wisconsin,54157,0,0,1,1,1,1,1182,3,1,45.05,-87.74
St. Charles School,517415,55101,Racine County,Wisconsin,53105,0,0,0,2,2,1,116,1,2,42.67,-88.27
Whitehall School District,616426,55121,Trempealeau County,Wisconsin,54773,1,6.512442322991249,0,3,1,2,772,2,2,44.36,-91.31
Wausau School District,376223,55073,Marathon County,Wisconsin,54401,1,8.259769008043445,1,1,1,,8332,20,3,44.96,-89.64
Ithaca School District,522660,55103,Richland County,Wisconsin,53581,1,9.5285,0,3,2,1,447,3,2,43.33,-90.38
"Hope Christian Schools, Inc.: Fidelis",401729,55079,Milwaukee County,Wisconsin,53209,0,0,0,1,1,1,408,1,4,43.13,-87.95
Unified School District of De Pere,51414,55009,Brown County,Wisconsin,54115,1,13.202975023987788,0,1,1,1,4475,6,1,44.43,-88.07
St. Mary'S School,107668,55019,Clark County,Wisconsin,54437,0,0,0,1,1,1,24,1,2,44.77,-90.6
